Employee Number,Last Name,First Name,Birthday,Address,Phone Number,SSS Number,Philhealth Number,TIN,Pagibig Number,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Semi Monthly Rate,Hourly Rate
14,Martinez,Leila,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino",0987-711-0749,27-2090996-4,51-574105749-6,275-792-513-000,1012-0544-5886,Regular,Payroll Rank and File,"Salcedo, Anthony",24000.0,1500.0,500.0,500.0,12000.0,142.86
15,Romualdez,Fredrick,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",0902-307-9009,26-8768374-1,30-836686005-9,598-065-761-000,2230-5770-7853,Regular,Account Manager,"Lim, Antonio",53500.0,1500.0,1000.0,1000.0,26750.0,318.45
16,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu",0978-377-6744,49-2959312-6,82-418796196-2,103-100-522-000,6310-5285-3464,Regular,Account Team Leader,"Romualdez, Fredrick",42975.0,1500.0,800.0,800.0,21487.5,255.8
17,De Leon,Selena,02/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",0975-432-1390,27-2090208-8,58-727246993-8,482-259-498-000,7190-0760-8464,Regular,Account Team Leader,"Romualdez, Fredrick",41850.0,1500.0,800.0,800.0,20925.0,249.11
18,San Jose,Allison,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",0917-907-5129,45-3251383-0,74-514845952-1,121-203-336-000,1149-0185-9343,Regular,Account Rank and File,"Mata, Christian",22500.0,1500.0,500.0,500.0,11250.0,133.93
19,Rosario,Cydney,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",0986-881-9912,49-1629900-2,57-925343549-9,122-244-511-000,2651-0435-8643,Regular,Account Rank and File,"Mata, Christian",22500.0,1500.0,500.0,500.0,11250.0,133.93
20,Bautista,Mark,02/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",0968-372-5348,49-1647342-5,39-966515713-5,273-970-941-000,2600-5458-5575,Regular,Account Rank and File,"Mata, Christian",23250.0,1500.0,500.0,500.0,11625.0,138.39
21,Lazaro,Darlene,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",0974-072-1558,45-5617168-2,60-638691751-0,354-650-951-000,1049-0770-8845,Probationary,Account Rank and File,"Mata, Christian",23250.0,1500.0,500.0,500.0,11625.0,138.39
22,Delos Santos,Kolby,02/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",0973-944-3033,52-0109570-6,35-745127127-4,187-500-345-000,1130-1798-8667,Probationary,Account Rank and File,"Mata, Christian",24000.0,1500.0,500.0,500.0,12000.0,142.86
23,Santos,Vella,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",0955-879-2690,52-9883524-3,54-867048288-5,101-558-994-000,3600-2810-4576,Probationary,Account Rank and File,"Mata, Christian",22500.0,1500.0,500.0,500.0,11250.0,133.93
24,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",0988-255-0989,45-5866331-6,95-390153999-5,560-735-732-000,9131-0864-9964,Probationary,Account Rank and File,"Mata, Christian",22500.0,1500.0,500.0,500.0,11250.0,133.93
25,Tolentino,Jacklyn,05/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",0967-575-7366,47-1692793-0,75-380065411-4,841-177-857-000,2105-4666-1243,Probationary,Account Rank and File,"De Leon, Selena",24000.0,1500.0,500.0,500.0,12000.0,142.86
26,Gutierrez,Percival,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",0951-289-9876,40-9504657-8,79-763938226-5,502-995-671-000,2108-9709-5686,Probationary,Account Rank and File,"De Leon, Selena",24750.0,1500.0,500.0,500.0,12375.0,147.32
27,Manalaysay,Garfield,08/28/1986,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",0994-862-8136,45-3298166-4,81-090928626-4,336-676-445-000,2112-7447-6563,Probationary,Account Rank and File,"De Leon, Selena",24750.0,1500.0,500.0,500.0,12375.0,147.32
28,Villegas,Lizeth,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",0933-237-2215,40-2400719-4,93-438965299-4,210-395-397-000,1222-3807-7997,Probationary,Account Rank and File,"De Leon, Selena",24000.0,1500.0,500.0,500.0,12000.0,142.86
29,Ramos,Carol,08/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",0925-070-0389,60-1152206-4,35-183046974-4,395-032-717-000,2121-4189-3454,Probationary,Account Rank and File,"De Leon, Selena",22500.0,1500.0,500.0,500.0,11250.0,133.93
30,Maceda,Emelia,04/14/1973,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",0973-358-0410,54-1331005-0,46-508789411-2,215-973-013-000,5150-1257-9765,Probationary,Account Rank and File,"De Leon, Selena",22500.0,1500.0,500.0,500.0,11250.0,133.93
31,Aguilar,Delia,01/27/1989,"95 Cremin Junction, Surallah 2809 Cotabato",0952-970-5439,52-1859253-1,13-645130306-8,599-312-588-000,1100-1881-3465,Probationary,Account Rank and File,"De Leon, Selena",22500.0,1500.0,500.0,500.0,11250.0,133.93
32,Castro,John Rafael,02/09/1992,"Hi-way, Yati, Liloan Cebu",0933-242-4955,26-7145133-4,60-164490240-2,404-768-309-000,6977-6406-9311,Regular,Sales & Marketing,"Reyes, Isabella",52670.0,1500.0,1000.0,1000.0,26335.0,313.51
33,Martinez,Carlos Ian,11/16/1990,"Bulala, Camalaniugan",0907-885-4208,11-5062972-7,38-068538721-2,256-436-296-000,9933-7296-3726,Regular,Supply Chain and Logistics,"Reyes, Isabella",52670.0,1500.0,1000.0,1000.0,26335.0,313.51
34,Santos,Beatriz,08/07/1990,"Agapita Building, Metro Manila",0952-663-9511,20-2987501-5,91-846005007-7,911-529-713-000,8740-4225-9378,Regular,Customer Service and Relations,"Reyes, Isabella",52670.0,1500.0,1000.0,1000.0,26335.0,313.51
35,Dela Cruz,Juan,05/15/1995,"123 Main Street, Quezon City",0912-345-6789,12-3456789-0,12-345678901-2,123-456-789-000,1234-5678-9012,Regular,HR Assistant,"Villanueva, Andrea Mae",25000.0,1500.0,500.0,500.0,12500.0,148.81
